Season,Team,Value
1977,1610612739,0.969583048530417
1984,1610612765,0.9688779688779688
1963,1610612738,0.966025641025641
1990,1610612757,0.9653417818740399
1968,1610612737,0.9652946778118718
1971,1610612764,0.9651488616462347
1974,1610612755,0.9647977470558117
1959,1610612765,0.9643518518518519
1958,1610612737,0.9640617462614568
1985,1610612742,0.9631097560975609
1958,1610612755,0.9626355492692126
1970,1610612756,0.9625618811881188
1959,1610612755,0.9622990004345937
1972,1610612765,0.9617117117117117
1951,1610612738,0.9612440191387559
1977,1610612754,0.958605317624582
1991,1610612756,0.9563034188034187
1976,1610612759,0.9560888702578076
1980,1610612747,0.9559509601822719
1984,1610612743,0.9558080808080808
1971,1610612757,0.9526640246587407
1969,1610612752,0.9522222222222222
1984,1610612757,0.9518496180136711
1955,1610612737,0.9514175429255957
1987,1610612742,0.9511677282377918
1979,1610612741,0.9507462686567164
1979,1610612754,0.9504866180048661
1952,1610612755,0.9498412698412698
1976,1610612739,0.948352737181075
1958,1610612758,0.9462189462189463
1972,1610612749,0.9457104557640751
1976,1610612764,0.9450039756162205
1967,1610612760,0.9441210710128055
1972,1610612758,0.9430596285434995
1980,1610612758,0.9427564949361514
1982,1610612743,0.942642723130528
1971,1610612746,0.9422297297297297
1992,1610612766,0.9411702577101817
1980,1610612755,0.9406083025071927
1978,1610612747,0.9402726902726903
1970,1610612738,0.9388334311998434
1979,1610612752,0.9385378695828271
1980,1610612751,0.93673647469459
1963,1610612755,0.9363323243920258
1957,1610612737,0.9351581508515815
1961,1610612764,0.9326385904598194
1980,1610612745,0.9323442760942761
1954,1610612747,0.9314240672622176
1952,1610612758,0.9309707241910632
1983,1610612738,0.9309437019036046
1964,1610612764,0.9297387321744561
1982,1610612738,0.9288825757575757
1985,1610612743,0.9280078895463512
1958,1610612744,0.9272030651340996
2007,1610612756,0.9265734265734266
2010,1610612753,0.9253102836879433
1972,1610612738,0.9241696678671468
1963,1610612765,0.9239514348785872
1952,1610612752,0.922524211184005
1977,1610612752,0.9215219976218787
1982,1610612755,0.9204927211646137
1983,1610612757,0.9203504579848666
1980,1610612746,0.918808911739503
1989,1610612757,0.9183372641509434
1993,1610612748,0.917208495882098
1963,1610612752,0.9168449197860963
1966,1610612741,0.9163568773234201
1976,1610612744,0.9162520729684909
1956,1610612765,0.9157655853691096
1963,1610612747,0.9151022110972048
1979,1610612764,0.9147669706180345
1951,1610610030,0.9123539232053423
1970,1610612739,0.9121497614095191
1980,1610612760,0.9113545816733067
1964,1610612738,0.9109630526953362
1981,1610612751,0.9105769230769231
1983,1610612762,0.91039011201236
1975,1610612738,0.9097222222222222
1983,1610612743,0.9088222511951325
1978,1610612752,0.9082706766917293
1980,1610612741,0.9079268292682926
1973,1610612737,0.90739608801956
1971,1610612744,0.9070552147239264
1986,1610612742,0.906309208033346
1969,1610612749,0.9060552506743558
1973,1610612738,0.906021897810219
1977,1610612757,0.9056742043551088
1970,1610612760,0.905279810164129
1952,1610612747,0.905
1976,1610612749,0.9034278959810874
1971,1610612765,0.9029055183946488
1976,1610612745,0.90257048092869
1988,1610612739,0.9013131313131314
1984,1610612741,0.9006877022653722
2008,1610612741,0.899736147757256
1962,1610612755,0.8985132514544278
1990,1610612756,0.8981315841780957
1987,1610612741,0.8967391304347826
1974,1610612745,0.8954392601933585
1972,1610612741,0.8920480813684697
1953,1610612758,0.890809968847352
1977,1610612756,0.8904679040989946
1983,1610612744,0.8901878497202239
1981,1610612746,0.8892355694227768
1992,1610612756,0.8891635356930987
1963,1610612737,0.8869190705128205
1951,1610610024,0.8864864864864865
1984,1610612758,0.8857634902411022
1990,1610612747,0.8853658536585366
1983,1610612751,0.8845322327044025
1975,1610612762,0.8832910857625688
1974,1610612757,0.8818407960199005
1983,1610612741,0.8818347509113001
1955,1610612758,0.8817508417508417
1981,1610612764,0.8812212463404433
2004,1610612738,0.8807661452065784
1974,1610612744,0.8796626984126984
1982,1610612760,0.8796296296296297
1957,1610612758,0.8791906130268199
1983,1610612742,0.877639992249564
1970,1610612744,0.8774225774225773
1997,1610612756,0.8772916666666667
1976,1610612758,0.8768375049662297
1982,1610612741,0.876765083440308
1962,1610612744,0.876680198466396
1991,1610612751,0.8762687779131141
1976,1610612760,0.8761225242957313
1980,1610612737,0.8758215962441315
2007,1610612737,0.8752865657955066
1952,1610612738,0.8751048951048951
1984,1610612738,0.8743961352657005
1976,1610612757,0.8742840778923253
1976,1610612755,0.8725107379929715
1975,1610612744,0.8712737127371274
1985,1610612744,0.871263937037384
2006,1610612756,0.8711201079622132
1956,1610612744,0.8700424929178471
1959,1610612752,0.8696048632218846
1954,1610612755,0.8677536231884058
1975,1610612764,0.8659062885326757
1951,1610612758,0.8658216783216783
1991,1610612739,0.8654837430610627
1973,1610612760,0.864696892511462
1988,1610612764,0.8633528265107212
1982,1610612762,0.8623695145434276
1973,1610612755,0.8622661122661123
1989,1610612738,0.8613984674329501
1992,1610612739,0.8609918000780945
2002,1610612749,0.8602846054333765
1978,1610612743,0.8601743084501705
1979,1610612743,0.8590722254844393
1962,1610612752,0.8590086384204032
1985,1610612751,0.8589743589743589
1951,1610612747,0.8587322500365978
1990,1610612760,0.8578476155673306
1962,1610612737,0.8575498575498576
1977,1610612737,0.8574259491030455
1965,1610612738,0.8573330797032528
1973,1610612756,0.857017028772754
1967,1610612752,0.8567765567765567
2016,1610612745,0.855846858094049
1978,1610612746,0.8551152073732718
1982,1610612742,0.8545673076923077
1984,1610612755,0.8544848653151902
1958,1610612752,0.8541938287701
1992,1610612760,0.8534365043240784
2004,1610612756,0.8527359529930224
1978,1610612749,0.8525412902637103
1970,1610612752,0.8519112789051438
1991,1610612757,0.8516818139229833
1987,1610612765,0.8509547383309759
1969,1610612738,0.8496708449815132
1981,1610612758,0.8494783904619969
1989,1610612752,0.8489681050656661
1985,1610612745,0.8487782805429863
1964,1610612765,0.8484996579024533
1974,1610612741,0.8475225225225226
1973,1610612765,0.8471892319873318
1975,1610612755,0.8465438237301355
1982,1610612754,0.8461463223787167
1975,1610612758,0.84595221292469
1989,1610612753,0.8451306855176262
2003,1610612758,0.8446514423076923
1992,1610612748,0.8442655535678791
1984,1610612749,0.8441742081447964
2009,1610612743,0.8424862465013029
1954,1610612758,0.8421453023963484
1976,1610612751,0.8420647149460709
1976,1610612754,0.8416960398092473
1951,1610612765,0.8400646203554119
1988,1610612752,0.839409203449159
1964,1610612744,0.8390060722275487
1989,1610612754,0.838667415309751
1951,1610612752,0.8386662679425837
2007,1610612764,0.8384057971014492
1990,1610612741,0.8374164810690422
2009,1610612753,0.8369090186730235
2001,1610612758,0.8366728570032256
1975,1610612749,0.8362379807692308
1987,1610612743,0.8361032531824611
1981,1610612745,0.8356599595648407
1985,1610612747,0.8348974626346889
1984,1610612745,0.8347785547785548
1980,1610612762,0.8342119419042496
1957,1610612744,0.8341346153846154
1974,1610612765,0.8336592785745328
2009,1610612742,0.83355602214163
1975,1610612757,0.8323390894819466
1981,1610612738,0.8313504677141041
1953,1610612738,0.8299831409674492
1990,1610612737,0.8289267618608935
1988,1610612742,0.8287684537684539
1986,1610612757,0.8284615384615385
1979,1610612757,0.8279720279720281
1981,1610612747,0.8279020609476836
1991,1610612754,0.8273745034308414
1981,1610612755,0.8268151601484934
1989,1610612741,0.8256779192030991
1987,1610612738,0.8255010063883783
1964,1610612737,0.8250709555345317
1988,1610612743,0.8236859077716866
1985,1610612755,0.8235690235690235
1997,1610612747,0.8226680612341923
1975,1610612752,0.8220498847201845
1982,1610612758,0.8216825191615107
1973,1610612739,0.8216286514605842
1984,1610612747,0.8215556685307576
1981,1610612741,0.8212472459047802
1988,1610612737,0.8211741365316981
1990,1610612753,0.8206077872744539
1981,1610612765,0.8204585537918871
1989,1610612739,0.8194532739987286
1989,1610612747,0.8188934353317915
1994,1610612760,0.8187160940325497
1977,1610612741,0.8173803526448362
1987,1610612762,0.8173076923076923
1984,1610612744,0.8164848047614753
1985,1610612738,0.8153149229026919
1978,1610612757,0.815006468305304
1986,1610612741,0.8141263940520447
1980,1610612744,0.8138584432472599
1987,1610612760,0.8137773079633545
1986,1610612743,0.8136904761904763
2009,1610612752,0.8134805945499587
1980,1610612754,0.8131736526946108
1999,1610612749,0.8128004807692307
1989,1610612759,0.8124587069372345
1991,1610612762,0.812340503098797
1951,1610612755,0.8113742731527442
1981,1610612744,0.8104109100632855
1996,1610612766,0.8103756708407871
1984,1610612764,0.8103351432316046
2003,1610612742,0.8093122280847912
1974,1610612762,0.8090480947623805
1989,1610612755,0.8089489925576329
1990,1610612745,0.8072747517862114
1976,1610612747,0.8072557959064894
1987,1610612745,0.8068513764716296
1973,1610612764,0.8062741312741313
2009,1610612762,0.8061130922058074
1976,1610612762,0.8057835464783356
1989,1610612756,0.8049384825700615
1975,1610612737,0.804726368159204
1978,1610612744,0.8045764362220058
1981,1610612737,0.8045128205128205
1976,1610612738,0.8031481307973392
1995,1610612760,0.8031481307973392
1960,1610612752,0.8024771838331161
1986,1610612762,0.8019586507072906
1974,1610612739,0.8014415481832544
1985,1610612739,0.8013968129057644
2009,1610612740,0.8008988294314381
1954,1610612765,0.8008015087223007
1992,1610612752,0.8007692307692308
2008,1610612743,0.8004807692307693
1988,1610612745,0.7990187489048537
1984,1610612752,0.7985744700546145
2003,1610612756,0.7981076151390788
1983,1610612747,0.7973675385647218
1988,1610612751,0.7970771205687766
1984,1610612746,0.7964762510217056
1989,1610612765,0.7964182982277072
1987,1610612739,0.7952443857331571
1985,1610612765,0.7951306413301663
1986,1610612755,0.7947295423023578
1983,1610612758,0.7946613761385156
2020,1610612757,0.7945075757575758
1995,1610612752,0.7942191142191142
1981,1610612762,0.7940277656509213
2004,1610612744,0.7939102564102564
1956,1610612758,0.7938977327544622
1995,1610612737,0.7937584803256446
1973,1610612758,0.7933445864480346
1971,1610612739,0.7931603557348492
1956,1610612752,0.7927830596369922
1989,1610612764,0.7918235610543303
1992,1610612745,0.7910364665491324
2006,1610612743,0.7908970976253299
1981,1610612754,0.7905189620758484
1974,1610612749,0.7903070503904996
1981,1610612756,0.7896407837445574
1970,1610612746,0.7894009216589861
1983,1610612752,0.7893172401369123
1986,1610612739,0.7885522496371553
1983,1610612756,0.7885497529992942
1976,1610612752,0.7883616619452313
1993,1610612759,0.7877627083549021
1987,1610612754,0.7876812924545622
1983,1610612765,0.787436444152862
1994,1610612748,0.7872016734810307
1955,1610612752,0.7857921115711484
1951,1610612744,0.7854785478547854
1995,1610612759,0.7853374062760344
1987,1610612747,0.7845569620253164
1967,1610612745,0.7835360319477219
2007,1610612766,0.7833695867114889
1982,1610612745,0.7831005311823727
1994,1610612742,0.7829803047194351
1996,1610612762,0.7826450892857143
1976,1610612756,0.7822331332969631
1992,1610612754,0.782154554306453
1985,1610612749,0.7815934065934066
1973,1610612757,0.7802814392589953
1964,1610612752,0.7799120366214882
2008,1610612763,0.7798762270593257
1961,1610612752,0.7798646362098138
2013,1610612744,0.7798259088581669
1983,1610612745,0.7796304254404813
1982,1610612756,0.7795994328252392
2005,1610612737,0.7791152867488745
1996,1610612764,0.7790853425181783
1990,1610612738,0.7786292039165602
1981,1610612742,0.7778483309143686
1994,1610612757,0.7769627279936558
1996,1610612752,0.7760794044665013
1985,1610612737,0.7756185335132704
1956,1610612737,0.7752747252747253
1991,1610612741,0.7733608673205989
1983,1610612749,0.7731755424063116
2002,1610612739,0.7731182795698924
2016,1610612748,0.7730654761904762
2008,1610612756,0.7727194492254733
1988,1610612765,0.7724991635998661
1993,1610612766,0.7718921703296704
1982,1610612751,0.7714879017695918
1992,1610612757,0.7714112343966714
1972,1610612752,0.7706766917293233
1996,1610612739,0.7701298701298701
1974,1610612764,0.7696790389098082
2009,1610612756,0.769546621043627
1976,1610612737,0.7690097259062777
1985,1610612758,0.7689126313975531
1992,1610612746,0.7688200280112045
1992,1610612737,0.7685152685152685
2007,1610612743,0.7678856662463219
1982,1610612744,0.7668118466898955
2005,1610612756,0.7667364016736402
1961,1610612737,0.7666745413024648
1982,1610612752,0.7666143380429096
1987,1610612764,0.7665843330980946
2019,1610612766,0.766562274150807
1988,1610612762,0.7652103993567407
1976,1610612765,0.76366422611953
1983,1610612755,0.7633607399794451
1992,1610612753,0.7631439192777483
2002,1610612758,0.7629412840680446
1989,1610612762,0.7628641200069771
1955,1610612747,0.7628471113948293
1984,1610612751,0.7625
2010,1610612743,0.7622071923457605
1986,1610612760,0.761849901250823
1993,1610612760,0.7604166666666667
1989,1610612742,0.7597897026831036
1988,1610612741,0.7596220527045769
1983,1610612739,0.7589140271493212
1987,1610612757,0.7584425903853794
2019,1610612757,0.7579887218045113
2002,1610612752,0.7576633892423366
2009,1610612747,0.7573335755153937
1995,1610612749,0.7564102564102565
1992,1610612747,0.7553977007196935
2003,1610612765,0.7553113553113554
1983,1610612764,0.7548843878831332
1986,1610612745,0.7546938775510205
1991,1610612758,0.7545968882602546
1954,1610612737,0.7537368292085274
1988,1610612744,0.7536094674556213
1988,1610612760,0.7532765399737877
1975,1610612747,0.753272648461205
1974,1610612738,0.7525417887299672
1988,1610612757,0.7523575235752358
1953,1610612744,0.7521367521367521
1980,1610612765,0.7515769944341374
2000,1610612742,0.7512921594393343
1994,1610612752,0.7512154076290203
1979,1610612762,0.7509941039352804
1985,1610612754,0.750268336314848
2010,1610612744,0.749607535321821
1987,1610612755,0.7495428096425603
1994,1610612753,0.7491553358055213
1997,1610612759,0.7486355679126764
1978,1610612760,0.748339860378001
1986,1610612744,0.7483303469620459
1999,1610612737,0.7482428738773916
1991,1610612760,0.7481381178063643
1993,1610612757,0.7478741496598639
1985,1610612762,0.747611865258924
1983,1610612760,0.7475965592848709
2004,1610612755,0.7473911478949262
1989,1610612748,0.7472139168252242
2008,1610612754,0.7469660194174758
2017,1610612750,0.7467494824016563
1954,1610612744,0.7466652323580034
2008,1610612753,0.7466210436270317
1999,1610612762,0.7458285930982177
1992,1610612758,0.7456632653061225
1986,1610612764,0.7455626400137859
1997,1610612765,0.7454666921168163
1979,1610612758,0.7454147736833249
2005,1610612758,0.7437908496732026
1959,1610612747,0.7437130801687764
1993,1610612744,0.7435832489023978
1957,1610612747,0.7424837885635684
1986,1610612737,0.7411330049261083
1991,1610612766,0.7408725116476069
1989,1610612744,0.7403722721437741
2000,1610612758,0.7402839396628217
1982,1610612757,0.7400468384074942
1974,1610612760,0.7397584033613446
1991,1610612759,0.7389626704953338
2001,1610612738,0.7385002603714633
2004,1610612742,0.7379275653923542
2007,1610612755,0.7370910143808513
2008,1610612765,0.7368070742607208
1953,1610612765,0.7366856871136472
1991,1610612752,0.7366557263776128
1989,1610612743,0.7361424064894097
1993,1610612752,0.7357142857142858
1997,1610612762,0.7355269008448199
1995,1610612761,0.7354196301564723
